Subject,2b_hit,2b_miss,2b_cr,2b_fa,2b_nr,3b_hit,3b_miss,3b_cr,3b_fa,3b_nr,2d',3d',score
100,30,0,42,17,1,26,4,51,7,2,2.701012783,2.302587788,2.501800285
101,27,3,57,3,0,24,5,56,4,1,2.926405192,2.34270718,2.634556186
102,29,0,60,0,1,21,8,60,0,1,4.227894436,2.918380313,3.573137374
103,30,0,60,0,0,27,3,59,1,0,4.522025034,3.4095968,3.965810917
104,22,8,52,8,0,24,6,53,7,0,1.73369734,2.033437405,1.883567373
105,27,3,60,0,0,23,7,60,0,0,3.675531365,3.121893091,3.398712228
106,29,1,60,0,0,18,12,59,1,0,4.227894436,2.381392337,3.304643386
107,30,0,60,0,0,26,4,59,1,0,4.522025034,3.238816851,3.880420942
109,26,3,59,1,1,19,10,57,3,1,3.238816851,1.985548454,2.612182652
110,29,1,59,1,0,28,2,59,1,0,3.96195987,3.62913118,3.795545525
111,30,0,59,1,0,29,1,54,5,1,4.256090468,3.216908763,3.736499616
112,29,1,60,0,0,24,5,58,2,1,4.227894436,2.675535869,3.451715153
113,29,1,60,0,0,27,3,60,0,0,4.227894436,3.675531365,3.9517129
114,30,0,57,0,3,29,1,60,0,0,4.522025034,4.227894436,4.374959735
115,29,1,60,0,0,28,2,57,1,2,4.227894436,3.62913118,3.928512808
116,29,1,60,0,0,24,6,57,3,0,4.227894436,2.486474861,3.357184648
117,30,0,60,0,0,29,1,59,0,1,4.522025034,4.227894436,4.374959735
118,29,1,58,2,0,28,2,59,1,0,3.667829272,3.62913118,3.648480226
119,28,2,57,1,2,23,7,60,0,0,3.62913118,3.121893091,3.375512135
120,29,1,60,0,0,26,4,59,1,0,4.227894436,3.238816851,3.733355643
121,27,2,56,2,3,24,5,58,2,1,3.115466201,2.675535869,2.895501035
122,30,0,59,0,1,24,6,59,0,1,4.522025034,3.235601033,3.878813034
123,28,2,60,0,0,22,8,53,0,7,3.895065746,3.016905523,3.455985634
125,29,1,59,1,0,27,3,58,2,0,3.96195987,3.115466201,3.538713036
126,30,0,60,0,0,24,5,60,0,1,4.522025034,3.235601033,3.878813034
127,28,2,60,0,0,28,2,57,1,2,3.895065746,3.62913118,3.762098463
128,30,0,60,0,0,27,2,56,4,1,4.522025034,2.782637512,3.652331273
129,29,1,60,0,0,26,3,55,2,4,4.227894436,2.944686252,3.586290344
130,28,2,60,0,0,23,7,59,1,0,3.895065746,2.855958525,3.375512135
131,27,3,58,2,0,25,5,57,3,0,3.115466201,2.612275193,2.863870697
132,26,3,58,0,3,26,3,58,1,2,3.504751416,3.238816851,3.371784134
133,29,1,60,0,0,29,1,59,1,0,4.227894436,3.96195987,4.094927153
134,29,1,59,1,0,26,4,59,1,0,3.96195987,3.238816851,3.60038836
135,30,0,59,1,0,27,1,58,2,2,4.256090468,3.115466201,3.685778335
136,29,1,60,0,0,23,7,60,0,0,4.227894436,3.121893091,3.674893763
137,29,1,60,0,0,28,2,58,2,0,4.227894436,3.335000582,3.781447509
138,27,2,59,1,1,24,5,56,4,1,3.4095968,2.34270718,2.87615199
139,27,3,59,0,1,21,9,56,0,4,3.675531365,2.918380313,3.296955839
140,30,0,60,0,0,25,4,57,3,1,4.522025034,2.612275193,3.567150114
141,30,0,59,0,1,21,9,53,4,3,4.522025034,2.025486459,3.273755746
142,30,0,59,1,0,28,1,57,3,1,4.256090468,3.145939573,3.701015021
143,29,1,58,2,0,30,0,59,1,0,3.667829272,4.256090468,3.96195987
144,29,1,57,2,1,19,10,56,4,1,3.667829272,1.841780773,2.754805022
145,30,0,59,1,0,24,4,58,2,2,4.256090468,2.675535869,3.465813169
146,17,12,57,1,3,19,11,59,0,1,2.295939239,2.734674627,2.515306933
147,27,2,57,2,2,25,5,57,2,1,3.115466201,2.801336202,2.958401202
148,30,0,59,1,0,26,3,59,1,1,4.256090468,3.238816851,3.74745366
149,30,0,59,1,0,25,5,59,1,0,4.256090468,3.0954668,3.675778634
150,29,1,54,0,6,23,6,50,1,10,4.227894436,2.855958525,3.54192648
151,30,0,60,0,0,29,1,59,1,0,4.522025034,3.96195987,4.241992452
152,30,0,56,1,3,28,2,59,1,3,4.256090468,3.62913118,3.942610824
153,29,1,54,0,6,29,1,50,1,9,4.227894436,3.96195987,4.094927153
154,28,2,59,1,0,27,3,58,2,0,3.62913118,3.115466201,3.372298691
155,29,1,60,0,0,25,4,57,1,3,4.227894436,3.0954668,3.661680618
157,26,4,60,0,0,28,2,55,5,0,3.504751416,2.884080073,3.194415745
159,30,0,60,0,0,23,7,60,0,0,4.522025034,3.121893091,3.821959062
160,24,5,52,0,9,26,4,53,0,7,3.235601033,3.504751416,3.370176225
161,30,0,60,0,0,24,6,60,0,0,4.522025034,3.235601033,3.878813034
162,29,1,51,2,7,22,8,52,1,7,3.667829272,2.750970957,3.209400115