Subject,BeforeBlock1,AfterBlock3,BeforeBlock4,AfterBlock4,BeforeBlock5,AfterBlock5,BeforeBlock6,AfterBlock6
100,3,5,2,3,5,5,6,5
101,2,3,3,3,2,2,5,6
102,1,2,2,2,3,3,3,2
103,2,2,1,2,2,2,2,2
104,4,2,2,2,1,1,3,3
105,3,3,3,4,4,3,4,3
106,2,5,2,2,2,2,3,3
107,3,5,3,4,2,2,2,2
109,5,6,3,4,3,3,3,2
110,4,3,3,2,1,1,1,1
111,3,1,1,4,3,3,2,1
112,1,3,5,6,3,2,2,2
113,3,4,5,3,2,2,1,2
114,5,6,4,4,5,5,4,4
115,3,2,1,1,1,1,2,2
116,1,2,2,2,2,3,3,3
117,2,4,3,5,3,3,3,3
118,3,3,2,5,3,2,2,2
119,2,3,2,2,3,3,4,4
120,3,3,3,4,3,2,3,2
121,2,4,1,1,3,3,5,4
122,3,4,3,4,3,3,3,2
123,2,4,2,2,2,2,2,2
125,2,3,2,2,3,3,3,3
126,3,4,3,3,4,3,4,5
127,5,6,4,6,3,3,4,3
128,5,5,4,4,3,4,3,3
129,2,3,1,3,2,3,3,3
130,2,4,3,4,2,2,2,2
131,5,6,4,3,2,2,3,4
132,3,5,1,3,2,3,1,1
133,2,1,2,3,2,2,3,3
134,4,5,2,4,3,2,2,2
135,2,2,3,4,3,3,3,2
136,3,4,4,3,1,1,1,1
137,5,6,3,3,2,2,2,2
138,3,3,2,2,3,2,2,2
139,6,5,3,4,3,4,2,2
140,3,3,5,5,4,3,4,3
141,4,3,2,3,2,2,3,1
142,3,5,4,6,3,2,2,2
143,2,5,1,1,4,2,2,1
144,3,3,3,3,4,4,2,2
145,3,5,2,2,3,3,4,4
146,1,4,5,5,4,3,2,2
147,2,3,3,4,5,5,4,5
148,2,3,2,3,3,3,1,1
149,4,5,3,3,4,3,3,3
150,3,2,2,2,2,2,3,3
151,3,4,3,4,4,5,4,4
152,3,3,3,3,3,3,4,3
153,2,1,2,2,2,1,2,1
154,2,2,2,2,2,2,3,3
155,5,4,4,3,3,3,2,2
157,3,3,3,3,3,3,3,3
159,3,2,2,2,4,4,5,5
160,1,3,2,2,3,3,3,3
161,3,4,4,3,1,2,1,1
162,5,6,4,3,4,7,4,4