Subject,UsualBedTime,UsualWakeUpTime,UsualSleepLength,UsualSleepLengthHours
100,21:30,5:30,8:00,8
102,1:30,8:00,6:30,6.5
101,23:00,7:15,8:15,8.25
103,22:30,7:30,9:00,9
104,22:30,8:00,9:30,9.5
105,0:00,9:00,9:00,9
106,1:00,10:00,9:00,9
107,0:00,8:30,8:30,8.5
109,23:50,8:00,8:10,8.166666667
110,1:00,9:00,8:00,8
111,23:00,7:00,8:00,8
112,22:15,8:00,9:45,9.75
113,1:15,9:30,8:15,8.25
114,0:30,9:00,8:30,8.5
115,22:00,7:00,9:00,9
116,22:30,6:30,8:00,8
117,22:00,6:00,8:00,8
118,0:00,8:30,8:30,8.5
119,22:30,6:45,8:15,8.25
120,0:00,8:00,8:00,8
121,0:00,9:00,9:00,9
122,23:00,7:30,8:30,8.5
123,23:30,7:00,7:30,7.5
125,23:45,8:45,9:00,9
126,0:30,8:45,8:15,8.25
127,21:30,7:00,9:30,9.5
128,1:00,9:30,8:30,8.5
129,0:30,8:30,8:00,8
130,23:30,8:30,9:00,9
131,23:30,7:30,8:00,8
132,1:00,9:10,8:10,8.166666667
133,0:00,8:30,8:30,8.5
134,1:00,9:00,8:00,8
135,2:00,10:45,8:45,8.75
136,0:00,7:00,7:00,7
137,1:00,9:00,8:00,8
138,23:00,7:30,8:30,8.5
139,22:30,7:00,8:30,8.5
140,22:30,7:30,9:00,9
141,1:30,9:30,8:00,8
142,23:30,8:00,8:30,8.5
143,1:00,9:00,8:00,8
144,0:00,8:30,8:30,8.5
145,0:45,8:30,7:45,7.75
146,23:45,7:00,7:15,7.25
147,3:00,11:00,8:00,8
148,0:30,8:30,8:00,8
149,1:00,8:00,7:00,7
150,2:15,9:15,7:00,7
151,1:00,9:00,8:00,8
152,0:30,7:00,6:30,6.5
153,23:30,9:00,9:30,9.5
154,23:00,8:00,9:00,9
155,23:00,8:30,9:30,9.5
157,22:30,8:30,10:00,10
159,0:45,8:15,7:30,7.5
160,22:30,9:00,10:30,10.5
161,1:00,9:00,8:00,8
162,0:00,8:00,8:00,8